fnSku,sellerSku,asin,productName,condition,fulfillmentChannel,totalQuantity,inStockSupplyQuantity,inboundWorkingQuantity,inboundShippedQuantity,inboundReceivingQuantity,reservedQuantity,unfulfillableQuantity,lastUpdatedTime
X001EXAMPLE1,VE-CASE-IP15,B0EXAMPLE01,VoltEdge Slim Armor Case for iPhone 15 - Matte Black,NewItem,AFN,142,130,0,0,0,8,4,2026-04-28T10:00:00Z
X001EXAMPLE2,VE-CASE-IP15P,B0EXAMPLE02,VoltEdge Slim Armor Case for iPhone 15 Pro - Navy Blue,NewItem,AFN,89,82,0,0,0,5,2,2026-04-28T10:00:00Z
X001EXAMPLE3,VE-SCRN-IP15,B0EXAMPLE03,VoltEdge Tempered Glass Screen Protector for iPhone 15 (3-Pack),NewItem,AFN,234,220,0,0,0,12,2,2026-04-28T10:00:00Z
X001EXAMPLE4,VE-CHRG-USB3,B0EXAMPLE04,VoltEdge 6ft USB-C to USB-C Fast Charging Cable (2-Pack),NewItem,AFN,18,14,0,50,0,3,1,2026-04-28T10:00:00Z
X001EXAMPLE5,VE-CHRG-LTN,B0EXAMPLE05,VoltEdge 3ft MFi Certified Lightning Cable - White,NewItem,MFN,67,67,0,0,0,0,0,2026-04-27T14:00:00Z
X001EXAMPLE6,VE-EARBUD-PRO,B0EXAMPLE06,VoltEdge AirPulse Pro Wireless Earbuds - Active Noise Cancelling,NewItem,AFN,45,38,0,0,0,5,2,2026-04-28T10:00:00Z
X001EXAMPLE7,VE-EARBUD-SPT,B0EXAMPLE07,VoltEdge FitPulse Sport Wireless Earbuds - IPX7,NewItem,AFN,31,28,0,0,0,2,1,2026-04-28T10:00:00Z
X001EXAMPLE8,VE-STAND-LSA,B0EXAMPLE08,VoltEdge ErgoRise Adjustable Laptop Stand - Silver Aluminum,NewItem,MFN,56,56,0,0,0,0,0,2026-04-26T09:00:00Z
X001EXAMPLE9,VE-STAND-LSB,B0EXAMPLE09,VoltEdge ErgoRise Pro Laptop Stand with Cooling Fan - Black,NewItem,MFN,22,22,0,0,0,0,0,2026-04-26T09:00:00Z
X001EXAMPLE10,VE-USBHUB-7P,B0EXAMPLE10,VoltEdge 7-in-1 USB-C Hub - HDMI 4K SD Card Reader,NewItem,AFN,0,0,0,0,0,0,0,2026-04-25T09:15:00Z
X001EXAMPLE11,VE-PWR-10K,B0EXAMPLE11,VoltEdge PowerVault 10000mAh Portable Charger - USB-C PD 20W,NewItem,AFN,78,70,0,0,0,6,2,2026-04-28T10:00:00Z
X001EXAMPLE12,VE-PWR-20K,B0EXAMPLE12,VoltEdge PowerVault Pro 20000mAh with 65W USB-C,NewItem,AFN,35,30,0,0,0,4,1,2026-04-28T10:00:00Z
X001EXAMPLE13,VE-CHRG-WALL,B0EXAMPLE13,VoltEdge 65W GaN USB-C Wall Charger - Dual Port,NewItem,AFN,92,85,0,0,0,5,2,2026-04-28T10:00:00Z
X001EXAMPLE14,VE-SCRN-S24U,B0EXAMPLE14,VoltEdge Tempered Glass for Samsung Galaxy S24 Ultra (2-Pack),NewItem,AFN,156,148,0,0,0,6,2,2026-04-28T10:00:00Z
X001EXAMPLE15,VE-CASE-S24U,B0EXAMPLE15,VoltEdge Clear Hybrid Case for Samsung Galaxy S24 Ultra,NewItem,AFN,108,100,0,0,0,6,2,2026-04-28T10:00:00Z
X001EXAMPLE16,VE-CHRG-MAG,B0EXAMPLE16,VoltEdge MagSnap 15W Wireless Charger Pad - Black,NewItem,AFN,64,58,0,0,0,4,2,2026-04-28T10:00:00Z
X001EXAMPLE17,VE-CHRG-CAR,B0EXAMPLE17,VoltEdge 45W Dual USB-C Car Charger with LED,NewItem,MFN,43,43,0,0,0,0,0,2026-04-27T14:00:00Z
X001EXAMPLE18,VE-CABLE-MAG,B0EXAMPLE18,VoltEdge Magnetic USB-C Charging Cable 6ft - 100W PD,NewItem,MFN,29,29,0,0,0,0,0,2026-04-27T14:00:00Z
X001FASH001,KW-CASH-001,B0FASH001,Luxe Cashmere Oversized Crewneck Sweater - Women's,NewItem,AFN,45,40,0,0,0,3,2,2026-04-28T10:00:00Z
X001FASH002,KW-CASH-002,B0FASH002,Cashmere Ribbed Turtleneck - Fitted - Women's,NewItem,AFN,32,28,0,0,0,3,1,2026-04-28T10:00:00Z
X001FASH003,KW-MERI-003,B0FASH003,Merino Wool Cable Knit Cardigan Open Front - Women's,NewItem,AFN,28,24,0,0,0,3,1,2026-04-28T10:00:00Z
X001FASH004,KW-MERI-004,B0FASH004,Merino Blend Half-Zip Pullover - Contemporary Women's,NewItem,AFN,54,50,0,0,0,3,1,2026-04-28T10:00:00Z
X001FASH005,KW-MOHA-005,B0FASH005,Mohair Blend V-Neck Sweater - Lightweight Women's,NewItem,AFN,18,15,0,0,0,2,1,2026-04-28T10:00:00Z
X001FASH006,KW-COAT-006,B0FASH006,Wool Blend Cocoon Coat - Women's Outerwear,NewItem,AFN,12,10,0,0,0,1,1,2026-04-28T10:00:00Z
X001FASH007,KW-COAT-007,B0FASH007,Sculptural Wool Coat Asymmetric Hem - Women's,NewItem,AFN,8,6,0,0,0,1,1,2026-04-28T10:00:00Z
X001FASH008,KW-JACK-008,B0FASH008,Cropped Bouclé Knit Jacket - Collarless Women's,NewItem,AFN,15,12,0,0,0,2,1,2026-04-28T10:00:00Z
X001FASH009,KW-KNIT-009,B0FASH009,Alpaca Wool Wrap Cardigan - Long Women's,NewItem,AFN,9,7,0,0,0,1,1,2026-04-28T10:00:00Z
X001FASH010,KW-KNIT-010,B0FASH010,Chunky Rib Knit Midi Dress - Cashmere Blend Women's,NewItem,AFN,22,18,0,0,0,3,1,2026-04-28T10:00:00Z
X001FASH011,KW-PUFF-011,B0FASH011,Geometric Quilted Puffer Jacket - Matte Cropped Women's,NewItem,AFN,38,34,0,0,0,3,1,2026-04-28T10:00:00Z
X001FASH012,KW-BLZR-012,B0FASH012,Oversized Wool Blazer - Double Breasted Women's,NewItem,AFN,20,17,0,0,0,2,1,2026-04-28T10:00:00Z
X001FASH013,KW-CASH-013,B0FASH013,Hand-Knit Cashmere Chunky Cable Coat - Women's,NewItem,AFN,4,3,0,0,0,1,0,2026-04-28T10:00:00Z
X001FASH014,KW-COAT-014,B0FASH014,Cashmere-Wool Double Breasted Maxi Coat - Women's,NewItem,AFN,3,2,0,0,0,1,0,2026-04-28T10:00:00Z
X001FASH015,KW-KNIT-015,B0FASH015,Intarsia Cashmere Oversized Pullover - Art Print Women's,NewItem,AFN,5,4,0,0,0,1,0,2026-04-28T10:00:00Z
X001FASH016,AE-COAT-016,B0FASH016,Ader Error Oversized Wool Coat - Below-Knee Charcoal,NewItem,AFN,10,8,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH017,MP-COAT-017,B0FASH017,Mijeong Park Belted Wool Trench - Below-Knee Camel,NewItem,AFN,8,6,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH018,AE-JACK-018,B0FASH018,Ader Error Dropped-Shoulder Puffer - Hip Length Olive,NewItem,AFN,12,10,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH019,MP-COAT-019,B0FASH019,Mijeong Park Cocoon Midi Coat - Stone,NewItem,AFN,6,5,0,0,0,1,0,2026-05-08T10:00:00Z
X001FASH020,MP-KNIT-020,B0FASH020,Mijeong Park Ribbed Turtleneck Sweater - Ivory,NewItem,AFN,20,17,0,0,0,2,1,2026-05-08T10:00:00Z
X001FASH021,AE-KNIT-021,B0FASH021,Ader Error Cable Knit Cardigan - Oatmeal,NewItem,AFN,14,12,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH022,MP-KNIT-022,B0FASH022,Mijeong Park Oversized V-Neck Pullover - Sage,NewItem,AFN,16,14,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH023,AE-KNIT-023,B0FASH023,Ader Error Mohair Blend Crewneck - Dusty Rose,NewItem,AFN,15,13,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH024,AE-KNIT-024,B0FASH024,Ader Error Graphic Intarsia Sweater - Cream,NewItem,AFN,10,8,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH025,AE-KNIT-025,B0FASH025,Ader Error Mock-Neck Boxy Sweater - Black,NewItem,AFN,12,10,0,0,0,1,1,2026-05-08T10:00:00Z
X001FASH026,MP-KNIT-026,B0FASH026,Mijeong Park Cashmere Wrap Cardigan - Fog,NewItem,AFN,8,7,0,0,0,1,0,2026-05-08T10:00:00Z
X001FASH027,MP-KNIT-027,B0FASH027,Mijeong Park Half-Zip Merino Pullover - Taupe,NewItem,AFN,14,12,0,0,0,1,1,2026-05-08T10:00:00Z
