courseId,id,text,state,creationTime,updateTime,creatorUserId,alternateLink
course_001,ann_001,Welcome to AP Computer Science A! Please review the syllabus linked in Materials and complete the intro survey by Friday.,PUBLISHED,2025-01-06T09:00:00Z,2025-01-06T09:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_001
course_001,ann_002,Reminder: Unit 2 test on Friday. Review String methods and Scanner input. Office hours Tuesday and Thursday after school.,PUBLISHED,2025-02-03T08:00:00Z,2025-02-03T08:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_002
course_001,ann_003,AP Exam registration deadline is next Monday March 3. Sign up in the counseling office if you haven't already.,PUBLISHED,2025-02-24T08:00:00Z,2025-02-24T08:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_003
course_001,ann_004,No class Thursday due to PSAT testing day. Use the time to work on your BankAccount project.,PUBLISHED,2025-03-17T08:00:00Z,2025-03-17T08:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_004
course_002,ann_005,Welcome to Web Dev! Make sure you have VS Code installed and a GitHub account created before next class.,PUBLISHED,2025-01-06T11:00:00Z,2025-01-06T11:00:00Z,teacher_001,https://classroom.google.com/c/course_002/p/ann_005
course_002,ann_006,Great work on the portfolio projects everyone! I've posted some exemplary examples in Materials for inspiration.,PUBLISHED,2025-01-27T11:00:00Z,2025-01-27T11:00:00Z,teacher_001,https://classroom.google.com/c/course_002/p/ann_006
course_002,ann_007,Reminder: Weather API project due Wednesday. Make sure your API key is working. See me if you need help with fetch.,PUBLISHED,2025-04-14T11:00:00Z,2025-04-14T11:00:00Z,teacher_001,https://classroom.google.com/c/course_002/p/ann_007
course_003,ann_008,Welcome to AP CSP! This course is about big ideas in CS not just coding. Come ready to think critically and creatively.,PUBLISHED,2025-01-06T14:00:00Z,2025-01-06T14:00:00Z,teacher_001,https://classroom.google.com/c/course_003/p/ann_008
course_003,ann_009,Innovation presentations start next week. Sign up for your presentation slot on the shared Google Doc.,PUBLISHED,2025-04-14T14:00:00Z,2025-04-14T14:00:00Z,teacher_001,https://classroom.google.com/c/course_003/p/ann_009
course_003,ann_010,AP CSP exam is May 12. Create Task portfolio due to College Board by April 30. No extensions possible.,PUBLISHED,2025-04-21T14:00:00Z,2025-04-21T14:00:00Z,teacher_001,https://classroom.google.com/c/course_003/p/ann_010
