id,media_id,mentioned_by_user_id,mentioned_by_username,media_url,timestamp,caption
17870001001,17900100001,17841400999040,pdx_coffee_crawl,https://instagram.mock/media/mention_001.jpg,2026-05-01T14:00:00,"Best cortado in Portland goes to @brewedawakening_ \ud83c\udfc6 Fight me. #pdxcoffee"
17870001002,17900100002,17841400999041,sarah_eats_pdx,https://instagram.mock/media/mention_002.jpg,2026-04-28T10:30:00,"Saturday morning ritual at @brewedawakening_ \u2615 The honey lavender latte is *chef's kiss*"
17870001003,17900100003,17841400999042,portland_date_ideas,https://instagram.mock/media/mention_003.jpg,2026-04-22T16:00:00,"Date spot #47: @brewedawakening_ in SE Portland. Cozy vibes, incredible coffee, great pastries from @pdx_sourdough \ud83c\udf5e\u2764\ufe0f"
17870001004,17900100004,17841400999005,maria_pours,https://instagram.mock/media/mention_004.jpg,2026-04-18T09:00:00,"Grateful to work with the best team @brewedawakening_ \ud83d\udc9c New latte art designs dropping soon!"
17870001005,17900100005,17841400999043,nw_coffee_alliance,https://instagram.mock/media/mention_005.jpg,2026-04-10T11:00:00,"Congrats to @brewedawakening_ on the 92-point @coffeereview score! Well deserved recognition for Portland's finest."
17870001006,17900100006,17841400999044,coffee_review_weekly,https://instagram.mock/media/mention_006.jpg,2026-04-05T15:00:00,"Our latest reviews are in! @brewedawakening_ Ethiopian Sidamo Natural scored 92. Floral, berry-forward, silky body."
17870001007,17900100007,17841400999021,clay_and_kiln,https://instagram.mock/media/mention_007.jpg,2026-04-20T10:00:00,"Sneak peek of our collab with @brewedawakening_ \ud83e\udec2 Handmade pour-over drippers dropping this Saturday!"
17890001001,17900001003,88120001,cafenostalgiabk,https://instagram.mock/media/mention1.jpg,2026-04-27T07:30:00,"Morning pastry delivery from @russells_pastries just arrived."
17890001002,17900001007,88120002,brownstonebookshopcafe,https://instagram.mock/media/mention2.jpg,2026-04-28T11:00:00,"Mother’s Day pastry boxes are already almost sold out."
17890001003,17900001005,88120003,brightonballetacademy,https://instagram.mock/media/mention3.jpg,2026-04-29T18:00:00,"Recital rehearsals powered by Miss Kim’s pastries again."
17890001004,17900001008,88120004,brooklynfoodlens,https://instagram.mock/media/mention4.jpg,2026-04-30T09:12:00,"The buttercream roses from @russells_pastries deserve their own museum."
17890001005,17900001001,88120005,blackownedbklyn,https://instagram.mock/media/mention5.jpg,2026-05-01T06:40:00,"Brooklyn mornings smell better when Kim’s croissants are involved."
17890001006,17900001004,88120006,artisanbakersnyc,https://instagram.mock/media/mention6.jpg,2026-05-01T08:55:00,"Lamination this clean should honestly be illegal."
17890001007,17900001002,88120007,soulfoodstories,https://instagram.mock/media/mention7.jpg,2026-05-02T13:00:00,"That peach cobbler belongs in a family archive."
17890001008,17900001006,88120008,brightonbeachliving,https://instagram.mock/media/mention8.jpg,2026-05-03T07:20:00,"Quiet kitchen mornings at @russells_pastries."
17890001009,17900001003,88120009,brooklyneatsdaily,https://instagram.mock/media/mention9.jpg,2026-05-03T12:45:00,"Macarons gone before noon again."
17890001010,17900001007,88120010,nycdessertguide,https://instagram.mock/media/mention10.jpg,2026-05-04T10:10:00,"Mother’s Day pastry boxes worth setting alarms for."17870002001,17900200001,17841400999140,connect_app_official,https://instagram.mock/media/mention_beta_001.jpg,2026-05-15T08:00:00,Connect Beta feedback is officially open. Tag us with #ConnectBeta to report onboarding bugs and UI issues across iOS and Android.
17870002002,17900200002,17841400999141,techreview_daily,https://instagram.mock/media/mention_beta_002.jpg,2026-05-14T17:00:00,"Hands-on with the @connect_app_official onboarding beta. Crashes, OTP failures, and broken layouts on multiple devices. Full review thread below. #ConnectBeta #ConnectBug"
17870002003,17900200003,17841400999142,mobile_qa_collective,https://instagram.mock/media/mention_beta_003.jpg,2026-05-13T13:00:00,"We aggregated 40+ beta reports from @connect_app_official users. Top issue categories: OTP delivery (28%), onboarding crashes (24%), layout glitches (19%). #ConnectBeta #ConnectOnboarding"
17870002004,17900200004,17841400999143,android_devs_pdx,https://instagram.mock/media/mention_beta_004.jpg,2026-05-12T19:30:00,Multiple Android testers reporting profile setup crashes in @connect_app_official Connect beta. Looks like a widespread P0. #ConnectBug
17870002005,17900200005,17841400999144,uxdesign_weekly,https://instagram.mock/media/mention_beta_005.jpg,2026-05-11T14:00:00,Onboarding flow analysis: 6 friction points in the @connect_app_official Connect beta. Detailed teardown in stories. #ConnectOnboarding #ConnectBeta
