listing_id,shop_id,title,description,price,currency_code,quantity,taxonomy_id,tags,materials,who_made,when_made,state,shop_section_id,processing_min,processing_max,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,views,num_favorers,shipping_profile_id,return_policy_id,is_supply,is_customizable,is_personalizable,created_timestamp,updated_timestamp,ending_timestamp
1001,29457183,Handmade Ceramic Mug - Speckled White Glaze,Wheel-thrown stoneware mug with a creamy speckled white glaze. Holds approximately 12oz. Microwave and dishwasher safe. Each mug is unique due to the handmade process.,32.00,USD,8,2078,"ceramic mug,handmade mug,pottery mug,stoneware,speckled glaze,coffee mug,artisan mug","stoneware clay,feldspar glaze",i_did,2020_2026,active,40001,7,14,0.85,lb,3.5,3.5,4.0,in,1847,312,50001,60001,false,true,true,2024-01-15T09:30:00,2025-04-20T11:15:00,2025-07-15T09:30:00
1002,29457183,Large Ramen Bowl - Midnight Blue,Deep stoneware bowl perfect for ramen or pho. Features a rich midnight blue glaze with subtle iron spots. Approximately 32oz capacity. Comes with matching chopstick rest.,48.00,USD,5,2087,"ramen bowl,ceramic bowl,pottery bowl,midnight blue,stoneware bowl,noodle bowl,handmade","stoneware clay,cobalt glaze,iron oxide",i_did,2020_2026,active,40002,10,14,1.2,lb,7.0,7.0,3.5,in,2103,287,50001,60001,false,true,false,2024-02-20T14:00:00,2025-04-18T09:00:00,2025-08-20T14:00:00
1003,29457183,Minimalist Bud Vase - Sage Green,Simple and elegant bud vase in a soft sage green glaze. Perfect for a single stem or small wildflower arrangement. Height approximately 6 inches.,28.00,USD,12,2101,"bud vase,ceramic vase,minimalist vase,sage green,pottery vase,flower vase,small vase","stoneware clay,celadon glaze",i_did,2020_2026,active,40003,5,10,0.6,lb,3.0,3.0,6.0,in,956,178,50001,60001,false,true,false,2024-03-10T16:45:00,2025-04-15T08:30:00,2025-09-10T16:45:00
1004,29457183,Ceramic Pour Over Coffee Dripper,Hand-thrown ceramic pour over dripper with custom-drilled holes for optimal water flow. Fits standard mugs. Available in Speckled White or Charcoal.,45.00,USD,3,2078,"pour over,coffee dripper,ceramic coffee,handmade dripper,pottery coffee,coffee lover gift","stoneware clay,feldspar glaze",i_did,2020_2026,active,40001,10,14,0.7,lb,4.5,4.5,3.5,in,1534,245,50001,60001,false,true,false,2024-04-05T11:00:00,2025-04-22T10:00:00,2025-10-05T11:00:00
1005,29457183,Set of 4 Ceramic Dinner Plates - Rustic Terracotta,Set of four wheel-thrown dinner plates in a warm rustic terracotta glaze with exposed clay rim. Each plate approximately 10.5 inches diameter. Food safe and dishwasher safe.,120.00,USD,2,2094,"dinner plates,ceramic plates,pottery plates,rustic plates,terracotta,plate set,handmade plates","stoneware clay,terracotta slip,clear glaze",i_did,2020_2026,active,40004,14,21,6.5,lb,10.5,10.5,1.0,in,789,156,50002,60001,false,true,false,2024-05-12T08:15:00,2025-03-30T14:20:00,2025-11-12T08:15:00
1006,29457183,Ceramic Herb Planter with Drainage - Set of 3,Three small planters with drainage holes and matching saucers. Perfect for a kitchen windowsill herb garden. Glazed in Forest Green.,54.00,USD,6,2101,"herb planter,ceramic planter,small planter,kitchen planter,plant pot,succulent pot,drainage","stoneware clay,copper carbonate glaze",i_did,2020_2026,active,40003,7,14,2.1,lb,4.0,4.0,4.0,in,1223,198,50001,60001,false,true,false,2024-05-28T13:30:00,2025-04-10T16:45:00,2025-11-28T13:30:00
1007,29457183,Espresso Cup and Saucer Set - Charcoal,Elegant espresso cup with matching saucer. Matte charcoal exterior with glossy white interior. Holds 3oz. Sold individually or as a set of 2.,26.00,USD,10,2078,"espresso cup,ceramic cup,coffee cup,saucer,charcoal,matte ceramic,handmade cup","stoneware clay,black stain,clear glaze",i_did,2020_2026,active,40001,5,10,0.45,lb,2.5,2.5,2.5,in,678,134,50001,60001,false,true,false,2024-06-15T09:00:00,2025-04-25T11:30:00,2025-12-15T09:00:00
1008,29457183,Large Serving Bowl - Ocean Wave Glaze,Statement serving bowl with a stunning layered blue-green glaze reminiscent of ocean waves. Perfect as a centerpiece or for family-style meals. 12 inches diameter.,78.00,USD,2,2087,"serving bowl,large bowl,ocean glaze,blue ceramic,centerpiece bowl,pottery bowl,statement piece","stoneware clay,cobalt glaze,copper carbonate,rutile",i_did,2020_2026,active,40002,14,21,2.8,lb,12.0,12.0,4.5,in,1456,267,50002,60001,false,false,false,2024-07-01T10:30:00,2025-04-12T09:15:00,2026-01-01T10:30:00
1009,29457183,Personalized Ceramic Mug - Custom Name,Your name or short message hand-carved into the clay before firing. Available in any of my standard glazes. Makes a perfect personalized gift!,38.00,USD,15,2078,"personalized mug,custom mug,name mug,engraved mug,gift mug,ceramic mug,handmade gift","stoneware clay,various glazes",i_did,2020_2026,active,40001,14,21,0.85,lb,3.5,3.5,4.0,in,3201,456,50001,60001,false,true,true,2024-07-20T15:00:00,2025-04-28T08:00:00,2026-01-20T15:00:00
1010,29457183,Ceramic Soap Dish with Drainage,Handmade soap dish with raised ridges allowing water to drain. Keeps your bar soap dry and lasting longer. Available in Speckled White or Sage Green.,22.00,USD,9,2094,"soap dish,ceramic soap dish,bathroom decor,pottery soap dish,drainage,handmade bathroom","stoneware clay,feldspar glaze",i_did,2020_2026,active,40002,5,10,0.4,lb,4.5,3.0,0.75,in,534,89,50001,60001,false,true,false,2024-08-05T12:00:00,2025-04-08T10:00:00,2026-02-05T12:00:00
