Persona Name,Domain,Source URL
Marcus Reed,Enterprise,https://example.com/personas/marcus-reed
Sophia Lin,Enterprise,https://example.com/personas/sophia-lin
Leo Alvarez,Enterprise,https://example.com/personas/leo-alvarez
Amara Okafor,Enterprise,https://example.com/personas/amara-okafor
Daniel Kim,Finance,https://example.com/personas/daniel-kim
Priya Nair,Finance,https://example.com/personas/priya-nair
Ethan Brooks,Finance,https://example.com/personas/ethan-brooks
Yuki Tanaka,Coding,https://example.com/personas/yuki-tanaka
Olivia Grant,Coding,https://example.com/personas/olivia-grant
Noah Feld,Coding,https://example.com/personas/noah-feld
