comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
cmt_001,vid_001,,,"DevDreamer42",UC_user001,"This is exactly what I needed! Just got my first interview thanks to project #3. The e-commerce store really impressed them.",24,2025-03-16T08:30:00Z,2025-03-16T08:30:00Z,published
cmt_002,vid_001,,,"CodeNewbie_Sarah",UC_user002,"Question: for project 2 (real-time chat), did you use WebSockets or Socket.io? Which would you recommend for a portfolio piece?",15,2025-03-16T10:45:00Z,2025-03-16T10:45:00Z,published
cmt_003,vid_001,UC_TechCraftAcademy,cmt_002,"TechCraft Academy",UC_TechCraftAcademy,"Great question! I used Socket.io because it handles reconnection and fallbacks automatically. For a portfolio piece, Socket.io is perfect — it shows you understand real-time concepts without reinventing the wheel.",32,2025-03-16T12:00:00Z,2025-03-16T12:00:00Z,published
cmt_004,vid_001,,,"FullStackFrank",UC_user003,"Been watching for 2 years and this is your best video yet. The advice about open source contributions is SO underrated.",8,2025-03-17T14:20:00Z,2025-03-17T14:20:00Z,published
cmt_005,vid_004,,,"IndieHacker_Tom",UC_user004,"What was your tech stack? I'm trying to do something similar but can't decide between Next.js and SvelteKit.",12,2025-03-09T09:15:00Z,2025-03-09T09:15:00Z,published
cmt_006,vid_004,UC_TechCraftAcademy,cmt_005,"TechCraft Academy",UC_TechCraftAcademy,"I went with Next.js + Supabase + Stripe. Next.js was the right call for speed — the app router and server components made the MVP faster to build. SvelteKit would work great too though!",18,2025-03-09T11:30:00Z,2025-03-09T11:30:00Z,published
cmt_007,vid_004,,,"StartupSteve",UC_user005,"$847 in the first week is amazing for a 48-hour build. Did you use any marketing strategy or was it all organic?",9,2025-03-10T16:00:00Z,2025-03-10T16:00:00Z,published
cmt_008,vid_008,,,"CareerChanger_Mike",UC_user006,"I'm 35 and switching from accounting to dev. This video gave me hope. Starting with Python today!",45,2025-03-02T07:00:00Z,2025-03-02T07:00:00Z,published
cmt_009,vid_008,,,"JuniorDev_Lisa",UC_user007,"The Git advice is spot on. I wish I'd learned it earlier instead of struggling with merge conflicts at my first job.",7,2025-03-03T15:30:00Z,2025-03-03T15:30:00Z,published
cmt_010,vid_002,,,"PythonPadawan",UC_user008,"Best Python tutorial on YouTube. Period. The budget tracker mini project at the end really cemented everything.",28,2025-03-14T20:00:00Z,2025-03-14T20:00:00Z,published
cmt_011,vid_002,,,"DataDan",UC_user009,"Coming from MATLAB and this makes Python look so much cleaner. Thanks for not assuming we know everything already.",11,2025-03-15T08:45:00Z,2025-03-15T08:45:00Z,published
cmt_012,vid_003,,,"FrontendFiona",UC_user010,"I went with Vue after this video and don't regret it. The composition API is so clean. Thanks for the honest comparison!",6,2025-03-12T11:00:00Z,2025-03-12T11:00:00Z,published
