board_id,name,description,privacy,created_at,pin_count,follower_count,updated_at,collaborator_count
board_1001,Living Room Inspo,Beautiful living room designs and cozy interior inspiration for every style and budget,PUBLIC,2023-03-15T10:00:00,4,1845,2023-03-15T10:00:00,0
board_1002,DIY Weekend Projects,Fun and easy DIY projects you can complete in a weekend. Home improvement made simple!,PUBLIC,2023-04-02T09:30:00,3,2103,2023-04-02T09:30:00,0
board_1003,Kitchen Makeovers,Kitchen renovation ideas from budget-friendly updates to full remodels,PUBLIC,2023-05-10T14:00:00,2,1567,2023-05-10T14:00:00,0
board_1004,Color Palettes,Curated color combinations for every room. Paint colors and accent ideas,PUBLIC,2023-06-20T11:30:00,2,3201,2023-06-20T11:30:00,0
board_1005,Holiday Decor,Seasonal and holiday decorating ideas for Christmas Easter Halloween and more,PUBLIC,2023-07-15T08:00:00,5,1290,2023-07-15T08:00:00,0
board_1006,Before & After,Stunning room transformations and renovation reveals,PUBLIC,2023-08-01T15:45:00,2,2456,2023-08-01T15:45:00,0
board_1007,Small Space Solutions,Smart storage and design ideas for apartments and small homes,PUBLIC,2023-09-12T10:15:00,5,1834,2023-09-12T10:15:00,0
board_1008,Budget Friendly Decor,Affordable home decor finds and styling tips that wont break the bank,PUBLIC,2023-10-05T13:00:00,2,987,2023-10-05T13:00:00,0
board_1009,My Secret Mood Board,Private inspiration board for upcoming content planning,SECRET,2023-11-20T09:00:00,1,0,2023-11-20T09:00:00,0
board_1010,Quiet Luxury Knitwear,Understated elegant knitwear for the modern minimalist. Cashmere wool and fine gauge knits in muted palettes,PUBLIC,2024-01-08T10:00:00,8,4521,2024-01-08T10:00:00,0
board_1011,Architectural Outerwear,Structured coats and sculptural jackets with clean lines and geometric silhouettes,PUBLIC,2024-02-14T09:15:00,6,3890,2024-02-14T09:15:00,0
board_1012,FW25 Runway Selects,Fall Winter 2025 runway picks from Seoul Fashion Week Copenhagen and Paris,PUBLIC,2024-09-20T14:00:00,4,2234,2024-09-20T14:00:00,0
board_4b_bath_001,Master Bath Inspo — Unit 4B Reno,Inspiration board for client bathroom renovation. Warm minimalist natural materials spa-like feel.,SECRET,2026-03-15T09:22:00,18,0,2026-03-15T09:22:00,0
board_bb_001,Beat Branding,Mood boards and visual concepts for beat releases and promotions,PUBLIC,2023-08-15T10:00:00,3,156,2023-08-15T10:00:00,0
board_studio_001,Studio Setup Inspo,Home studio design ideas and equipment layouts,PUBLIC,2023-09-01T09:00:00,0,89,2023-09-01T09:00:00,0
board_afro_001,Afrobeats Visual Culture,Visual references for afrobeats aesthetic,PUBLIC,2023-10-20T14:00:00,0,203,2023-10-20T14:00:00,0
