zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
84120001,"412 Maple Grove Ct",Bellevue,WA,98004,47.6101,-122.2015,4,3.5,2840,7200,2012,SingleFamily,1495000,1512300,5400,FOR_SALE,18,agent-001
84120002,"1530 Aurora Pl",Bellevue,WA,98005,47.6175,-122.1640,3,2.0,1820,5400,1998,SingleFamily,985000,992100,4100,FOR_SALE,7,agent-001
84120003,"88 Lakeview Dr Unit 4B",Bellevue,WA,98004,47.6098,-122.2010,2,2.0,1180,0,2018,Condo,720000,728000,2950,FOR_SALE,3,agent-002
84120004,"6602 192nd Ave NE",Redmond,WA,98052,47.6862,-122.0813,5,4.0,3650,9100,2020,SingleFamily,1875000,1880000,6200,FOR_SALE,42,agent-002
84120005,"2110 Pine St",Seattle,WA,98101,47.6157,-122.3300,1,1.0,640,0,2015,Condo,540000,548000,2400,SOLD,0,agent-003
84120006,"915 Cedar Ridge Rd",Issaquah,WA,98029,47.5419,-122.0089,4,2.5,2480,8800,2007,SingleFamily,1180000,1162000,4700,FOR_SALE,12,agent-001
84120007,"4404 Birch Ln",Kirkland,WA,98033,47.6841,-122.2087,3,2.5,2110,6400,2010,Townhouse,890000,895000,3700,FOR_SALE,21,agent-003
84120008,"701 Sunset Ave",Mercer Island,WA,98040,47.5709,-122.2222,5,4.5,4120,11000,2019,SingleFamily,2450000,2480000,8200,OFF_MARKET,0,agent-002
84120009,"3300 W Lake Sammamish Pkwy",Sammamish,WA,98074,47.6164,-122.0356,4,3.0,2950,9800,2014,SingleFamily,1620000,1640000,5800,FOR_SALE,9,agent-001
84120010,"1804 Harbor Steps Apt 18",Seattle,WA,98101,47.6075,-122.3367,2,2.0,1100,0,2008,Condo,690000,695000,3000,FOR_RENT,5,agent-003
