courseId,id,title,description,state,creationTime,updateTime,creatorUserId,topicId,alternateLink,materialType,materialUrl
course_001,mat_001,AP CS A Syllabus,Course syllabus with schedule grading policy and required materials.,PUBLISHED,2025-01-06T08:30:00Z,2025-01-06T08:30:00Z,teacher_001,topic_101,https://classroom.google.com/c/course_001/m/mat_001,LINK,https://docs.google.com/document/d/apcs-syllabus-2025
course_001,mat_002,Java Style Guide,Coding standards and naming conventions for all Java assignments in this class.,PUBLISHED,2025-01-10T09:00:00Z,2025-01-10T09:00:00Z,teacher_001,topic_101,https://classroom.google.com/c/course_001/m/mat_002,LINK,https://docs.google.com/document/d/java-style-guide
course_001,mat_003,AP CS A Exam Reference Sheet,Official reference sheet provided during the AP exam. Familiarize yourself with it.,PUBLISHED,2025-03-01T09:00:00Z,2025-03-01T09:00:00Z,teacher_001,topic_107,https://classroom.google.com/c/course_001/m/mat_003,LINK,https://apcentral.collegeboard.org/media/pdf/ap-computer-science-a-java-quick-reference.pdf
course_002,mat_004,VS Code Setup Guide,Step-by-step instructions for installing VS Code and recommended extensions for web development.,PUBLISHED,2025-01-06T11:30:00Z,2025-01-06T11:30:00Z,teacher_001,topic_201,https://classroom.google.com/c/course_002/m/mat_004,LINK,https://docs.google.com/document/d/vscode-setup
course_002,mat_005,MDN Web Docs Reference,Mozilla Developer Network - your go-to reference for HTML CSS and JavaScript documentation.,PUBLISHED,2025-01-10T11:00:00Z,2025-01-10T11:00:00Z,teacher_001,topic_201,https://classroom.google.com/c/course_002/m/mat_005,LINK,https://developer.mozilla.org/en-US/
course_003,mat_006,AP CSP Exam Prep Resources,Collection of practice questions and review materials for the AP CSP exam.,PUBLISHED,2025-03-15T14:00:00Z,2025-03-15T14:00:00Z,teacher_001,topic_305,https://classroom.google.com/c/course_003/m/mat_006,LINK,https://apcentral.collegeboard.org/courses/ap-computer-science-principles/exam
uscg-charter-inspection-2026,mat_007,USCG Near-Coastal Charter Compliance Checklist,Official Coast Guard near-coastal charter inspection checklist PDF used as ground truth for the 2026 Lucky Strike safety audit. Lucky_Strike_Safety_Audit_Report.pdf,PUBLISHED,2026-04-25T08:30:00Z,2026-04-25T08:30:00Z,teacher_004,topic_401,https://classroom.google.com/c/uscg-charter-inspection-2026/m/mat_007,LINK,https://drive.luckystrike-charters.com/inspections/2026/Lucky_Strike_Safety_Audit_Report.pdf
uscg-charter-inspection-2026,mat_008,2026 Lucky Strike Inspection Photo Album,Drive folder containing all 18 equipment inspection photos IMG_1042 through IMG_1059 captured during the May 7 2026 audit. Includes engine room cabin galley helm and stern locker shots.,PUBLISHED,2026-05-07T19:00:00Z,2026-05-07T19:00:00Z,teacher_004,topic_401,https://classroom.google.com/c/uscg-charter-inspection-2026/m/mat_008,LINK,https://drive.luckystrike-charters.com/inspections/2026/photos
uscg-charter-inspection-2026,mat_009,2025 Lucky Strike Comparison Photo Album,Reference link to last year photo album IMG_0942 through IMG_0959 for year-over-year condition comparison of every equipment item.,PUBLISHED,2026-05-07T19:05:00Z,2026-05-07T19:05:00Z,teacher_004,topic_401,https://classroom.google.com/c/uscg-charter-inspection-2026/m/mat_009,LINK,https://drive.luckystrike-charters.com/inspections/2025/photos
uscg-charter-inspection-2026,mat_010,Marine Chandlery and Safety Vendor Reference List,Vendor contact list for prioritized repair and replacement actions. West Marine / Defender Industries / Landfall Navigation / ACR Electronics warranty desk. Used to source quotes for EQ-008 EQ-004 EQ-014 EQ-002 EQ-017.,PUBLISHED,2026-05-08T09:00:00Z,2026-05-08T09:00:00Z,teacher_004,topic_405,https://classroom.google.com/c/uscg-charter-inspection-2026/m/mat_010,LINK,https://drive.luckystrike-charters.com/vendors/marine_safety_suppliers.pdf
uscg-charter-inspection-2025,mat_011,2025 Lucky Strike Annual USCG Inspection Report,Archived prior-year Coast Guard inspection report PDF. All 18 equipment items passed with warnings noted on flare kit expiry Dec 2025 and EPIRB battery rated to Mar 2026.,PUBLISHED,2025-05-09T18:00:00Z,2025-05-09T18:00:00Z,teacher_004,topic_406,https://classroom.google.com/c/uscg-charter-inspection-2025/m/mat_011,LINK,https://drive.luckystrike-charters.com/inspections/2025/Lucky_Strike_Safety_Audit_Report_2025.pdf
