id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
issue-01,MER-1,1,Implement rate limiting for v2 API endpoints,Add configurable rate limiting middleware to all v2 API endpoints. Should support per-user and per-IP limits with Redis backing store.,2,5,state-bkd-done,user-02,team-backend,proj-api-v2,cycle-bkd-1,"label-feature,label-api",,1.0,james.chen/mer-1-implement-rate-limiting,2025-03-15T10:00:00,2025-04-18T16:30:00,2025-04-08T09:00:00,2025-04-18T16:30:00,
issue-02,MER-2,2,Fix N+1 query in dashboard metrics endpoint,The /api/metrics/dashboard endpoint makes N+1 queries for team member stats. Batch the queries using DataLoader pattern.,1,3,state-bkd-done,user-03,team-backend,proj-perf,cycle-bkd-1,"label-bug,label-performance,label-api",2025-04-15,2.0,amara.okafor/mer-2-fix-n-plus-one-query,2025-04-02T14:00:00,2025-04-14T11:00:00,2025-04-08T10:00:00,2025-04-14T11:00:00,
issue-03,MER-3,3,Design new chart components for analytics dashboard,Create reusable chart components (line area bar) using D3.js with responsive layouts and dark mode support.,2,8,state-frn-inreview,user-07,team-frontend,proj-dashboard,cycle-frn-2,"label-feature,label-ui,label-needs-design",,3.0,nina.kowalski/mer-3-design-new-chart-components,2025-03-20T09:00:00,2025-04-28T10:00:00,2025-04-21T09:00:00,,
issue-04,MER-4,4,Set up Terraform modules for staging environment,Create reusable Terraform modules for provisioning staging env including RDS Aurora and ElastiCache instances.,3,5,state-plt-inprogress,user-11,team-platform,proj-perf,cycle-plt-2,"label-infra,label-tech-debt",,4.0,yuki.tanaka/mer-4-set-up-terraform-modules,2025-03-25T11:00:00,2025-04-26T14:00:00,2025-04-22T09:00:00,,
issue-05,MER-5,5,Migrate user authentication to v2 token format,Update JWT token generation and validation to v2 format with shorter expiry and refresh token rotation.,2,5,state-bkd-inprogress,user-01,team-backend,proj-api-v2,cycle-bkd-2,"label-feature,label-api,label-security",,5.0,priya.sharma/mer-5-migrate-user-authentication,2025-04-01T09:00:00,2025-04-27T15:00:00,2025-04-22T10:00:00,,
issue-06,MER-6,6,Customer reports 500 error on project creation,Customer ABC Corp reports intermittent 500 errors when creating projects with special characters in the name.,1,2,state-bkd-inprogress,user-04,team-backend,,,"label-bug,label-customer-reported,label-api",2025-04-25,6.0,david.kim/mer-6-customer-reports-500-error,2025-04-20T08:00:00,2025-04-25T11:00:00,2025-04-22T14:00:00,,
issue-07,MER-7,7,Implement real-time WebSocket updates for dashboard,Add WebSocket connection to push live metric updates to the analytics dashboard without polling.,3,8,state-frn-todo,user-06,team-frontend,proj-dashboard,cycle-frn-2,"label-feature,label-frontend,label-performance",,7.0,,2025-04-10T10:00:00,2025-04-24T09:00:00,,,
issue-08,MER-8,8,Add OpenTelemetry tracing to API gateway,Instrument the API gateway with OpenTelemetry traces for distributed debugging. Export to Jaeger.,3,3,state-plt-todo,user-12,team-platform,proj-perf,cycle-plt-2,"label-infra,label-monitoring",,8.0,,2025-04-12T14:00:00,2025-04-22T10:00:00,,,
issue-09,MER-9,9,Refactor listing query builder for v2 filters,The current query builder does not support the new v2 filter syntax (nested AND/OR). Needs a rewrite using AST approach.,3,5,state-bkd-todo,user-05,team-backend,proj-api-v2,cycle-bkd-2,"label-tech-debt,label-api",,9.0,,2025-04-14T09:00:00,2025-04-23T11:00:00,,,
issue-10,MER-10,10,Fix date picker timezone handling in project settings,Date picker saves dates in local timezone instead of UTC causing issues for distributed teams.,2,2,state-frn-inprogress,user-08,team-frontend,proj-dashboard,cycle-frn-2,"label-bug,label-ui",2025-04-28,10.0,omar.hassan/mer-10-fix-date-picker-timezone,2025-04-15T11:00:00,2025-04-26T16:00:00,2025-04-23T09:00:00,,
issue-11,MER-11,11,Set up GitHub Actions for SOC2 audit trail,Create CI pipeline that logs all deployments and config changes to immutable audit log.,3,3,state-plt-backlog,user-10,team-platform,proj-soc2,,"label-infra,label-ci-cd,label-security",,11.0,,2025-04-18T09:00:00,2025-04-18T09:00:00,,,
issue-12,MER-12,12,Implement cursor-based pagination for v2 list endpoints,Replace offset-based pagination with cursor-based using opaque tokens. Must be backward-compatible.,2,5,state-bkd-todo,user-02,team-backend,proj-api-v2,cycle-bkd-2,"label-feature,label-api",,12.0,,2025-04-19T10:00:00,2025-04-23T14:00:00,,,
