sku,asin,sellerId,title,description,brand,bulletPoints,price,currency,quantity,fulfillmentChannel,status,condition,productType,itemWeight,itemWeightUnit,itemLength,itemWidth,itemHeight,itemDimensionsUnit,mainImageUrl,category,createdDate,lastUpdatedDate
VE-CASE-IP15,B0EXAMPLE01,A3EXAMPLE1SELLER,VoltEdge Slim Armor Case for iPhone 15 - Matte Black,Premium slim-fit protective case with military-grade drop protection. Features raised bezels for camera and screen protection. Compatible with wireless charging.,VoltEdge Tech,"Military-grade drop protection (MIL-STD-810G tested)|Slim profile at only 1.2mm thick|Raised bezels protect camera and screen|Compatible with MagSafe and wireless charging|Precision cutouts for all ports and buttons",19.99,USD,142,AFN,ACTIVE,NEW,CELLULAR_PHONE_CASE,0.08,pounds,6.2,3.1,0.5,inches,https://m.media-amazon.com/images/I/example01.jpg,Cell Phones & Accessories,2024-08-10T14:30:00Z,2026-04-15T09:00:00Z
VE-CASE-IP15P,B0EXAMPLE02,A3EXAMPLE1SELLER,VoltEdge Slim Armor Case for iPhone 15 Pro - Navy Blue,Premium slim-fit protective case with military-grade drop protection for iPhone 15 Pro. Features raised bezels and anti-fingerprint coating.,VoltEdge Tech,"Military-grade drop protection|Anti-fingerprint matte coating|Slim 1.2mm profile|Full MagSafe compatibility|Lifetime warranty included",21.99,USD,89,AFN,ACTIVE,NEW,CELLULAR_PHONE_CASE,0.09,pounds,6.3,3.2,0.5,inches,https://m.media-amazon.com/images/I/example02.jpg,Cell Phones & Accessories,2024-08-10T14:30:00Z,2026-04-18T11:20:00Z
VE-SCRN-IP15,B0EXAMPLE03,A3EXAMPLE1SELLER,VoltEdge Tempered Glass Screen Protector for iPhone 15 (3-Pack),9H hardness tempered glass with oleophobic coating. Ultra-clear with 99.9% transparency. Includes alignment frame for bubble-free installation.,VoltEdge Tech,"9H hardness tempered glass|Oleophobic anti-fingerprint coating|99.9% HD clarity|Easy install alignment frame included|3-pack value bundle",12.99,USD,234,AFN,ACTIVE,NEW,SCREEN_PROTECTOR,0.12,pounds,7.0,4.0,0.8,inches,https://m.media-amazon.com/images/I/example03.jpg,Cell Phones & Accessories,2024-09-01T10:00:00Z,2026-04-20T08:45:00Z
VE-CHRG-USB3,B0EXAMPLE04,A3EXAMPLE1SELLER,VoltEdge 6ft USB-C to USB-C Fast Charging Cable (2-Pack),100W PD fast charging cable with E-Marker chip. Braided nylon for durability. Compatible with MacBook Pro Samsung Galaxy and all USB-C devices.,VoltEdge Tech,"100W Power Delivery fast charging|USB 3.2 Gen 2 - 10Gbps data transfer|Premium braided nylon - 10000+ bend tested|Universal USB-C compatibility|2-pack 6ft cables",16.99,USD,18,AFN,ACTIVE,NEW,USB_CABLE,0.15,pounds,8.0,5.5,1.0,inches,https://m.media-amazon.com/images/I/example04.jpg,Electronics,2024-07-20T09:00:00Z,2026-04-22T10:30:00Z
VE-CHRG-LTN,B0EXAMPLE05,A3EXAMPLE1SELLER,VoltEdge 3ft MFi Certified Lightning Cable - White,Apple MFi certified lightning to USB-C cable. Premium TPE jacket with strain relief. Fast charging up to 30W with compatible adapters.,VoltEdge Tech,"Apple MFi Certified for reliability|30W fast charging support|Reinforced strain relief connectors|Premium TPE jacket|Compatible with all Lightning devices",14.99,USD,67,MFN,ACTIVE,NEW,USB_CABLE,0.05,pounds,5.0,3.0,0.5,inches,https://m.media-amazon.com/images/I/example05.jpg,Electronics,2024-10-05T11:00:00Z,2026-04-10T14:00:00Z
VE-EARBUD-PRO,B0EXAMPLE06,A3EXAMPLE1SELLER,VoltEdge AirPulse Pro Wireless Earbuds - Active Noise Cancelling,True wireless earbuds with hybrid ANC and 36-hour total battery life. IPX5 water resistant with touch controls. Bluetooth 5.3.,VoltEdge Tech,"Hybrid Active Noise Cancellation|36-hour total battery (8h + 28h case)|IPX5 water and sweat resistant|Bluetooth 5.3 with multipoint|Premium 10mm drivers with deep bass",49.99,USD,45,AFN,ACTIVE,NEW,HEADPHONES,0.35,pounds,4.0,4.0,2.5,inches,https://m.media-amazon.com/images/I/example06.jpg,Electronics,2024-06-15T08:00:00Z,2026-04-25T16:00:00Z
VE-EARBUD-SPT,B0EXAMPLE07,A3EXAMPLE1SELLER,VoltEdge FitPulse Sport Wireless Earbuds - IPX7,Sport-focused true wireless earbuds with secure ear hooks. IPX7 rated for swimming. 10-hour playback with charging case.,VoltEdge Tech,"IPX7 waterproof - swim-safe|Secure over-ear hook design|10-hour single charge playback|Ambient sound mode for safety|Quick charge: 10 min = 2 hours",34.99,USD,31,AFN,ACTIVE,NEW,HEADPHONES,0.28,pounds,5.0,5.0,2.5,inches,https://m.media-amazon.com/images/I/example07.jpg,Electronics,2024-11-01T09:00:00Z,2026-03-28T12:00:00Z
VE-STAND-LSA,B0EXAMPLE08,A3EXAMPLE1SELLER,VoltEdge ErgoRise Adjustable Laptop Stand - Silver Aluminum,Ergonomic laptop stand with 6 adjustable height levels. Supports laptops up to 17 inches and 22 lbs. Foldable and portable design.,VoltEdge Tech,"6 adjustable height angles|Premium aluminum alloy construction|Supports up to 17 inch laptops (22 lbs)|Foldable portable design|Silicone pads prevent scratches and sliding",29.99,USD,56,MFN,ACTIVE,NEW,LAPTOP_STAND,1.8,pounds,10.5,9.0,0.6,inches,https://m.media-amazon.com/images/I/example08.jpg,Electronics,2024-05-20T10:00:00Z,2026-04-12T09:15:00Z
VE-STAND-LSB,B0EXAMPLE09,A3EXAMPLE1SELLER,VoltEdge ErgoRise Pro Laptop Stand with Cooling Fan - Black,Premium laptop stand with dual cooling fans and USB hub. Adjustable height and angle. Built-in cable management.,VoltEdge Tech,"Dual quiet cooling fans (25dB)|Integrated USB 3.0 hub (2 ports)|Adjustable height and tilt angle|Supports up to 17 inch laptops|Built-in cable management",44.99,USD,22,MFN,ACTIVE,NEW,LAPTOP_STAND,2.4,pounds,14.0,10.0,1.5,inches,https://m.media-amazon.com/images/I/example09.jpg,Electronics,2025-01-10T08:00:00Z,2026-04-20T11:00:00Z
VE-USBHUB-7P,B0EXAMPLE10,A3EXAMPLE1SELLER,VoltEdge 7-in-1 USB-C Hub - HDMI 4K SD Card Reader,USB-C multiport adapter with 4K HDMI output SD/microSD card reader 2x USB 3.0 USB-C PD 100W passthrough and Gigabit Ethernet.,VoltEdge Tech,"4K@60Hz HDMI output|100W USB-C Power Delivery passthrough|SD and microSD card reader|2x USB 3.0 ports (5Gbps)|Gigabit Ethernet port",39.99,USD,0,AFN,INACTIVE,NEW,USB_HUB,0.22,pounds,4.5,2.0,0.6,inches,https://m.media-amazon.com/images/I/example10.jpg,Electronics,2024-04-01T12:00:00Z,2026-04-25T09:15:00Z
