listing_id,shop_id,title,description,price,currency_code,quantity,taxonomy_id,tags,materials,who_made,when_made,state,shop_section_id,processing_min,processing_max,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,views,num_favorers,shipping_profile_id,return_policy_id,is_supply,is_customizable,is_personalizable,created_timestamp,updated_timestamp,ending_timestamp
1001,29457183,Hand-Carved Mortar & Pestle Set - Red Cedar,"Solid red cedar mortar and pestle set hand-carved in my Tacoma workshop. The mortar stands approximately 7 inches tall with a 5-inch opening. Pestle is shaped for a comfortable grip. Finished with food-safe mineral oil. Each set shows unique grain patterns.",180.00,USD,3,6516,"mortar and pestle,wood mortar,hand carved,red cedar,kitchen woodcraft,artisan kitchenware,Pacific Northwest","red cedar,mineral oil",i_did,2020_2026,active,40001,10,21,3.2,lb,5.0,5.0,7.0,in,1243,198,50002,60001,false,true,false,2024-01-15T09:30:00,2026-04-20T11:15:00,2026-07-15T09:30:00
1002,29457183,Traditional Pattern Rolling Pin - Carved Beechwood,"Hand-carved beechwood rolling pin with intricate traditional patterns embossed into the surface. Creates beautiful designs on cookies, pastry, and flatbread. Approximately 10 inches rolling surface with turned handles. Each pattern is carved by hand.",45.00,USD,8,6516,"rolling pin,carved rolling pin,embossed rolling pin,beechwood,cookie roller,pattern roller,handmade kitchen","beechwood",i_did,2020_2026,active,40001,7,14,1.1,lb,15.0,2.5,2.5,in,1876,267,50001,60001,false,true,false,2024-02-20T14:00:00,2026-04-18T09:00:00,2026-08-20T14:00:00
1003,29457183,Large Hand-Turned Grain Bowl - Hardwood,"Generous hand-turned grain bowl carved from a single piece of Pacific Northwest hardwood. Approximately 12 inches diameter and 4 inches deep. Perfect for serving salads or displaying fruit. Finished with food-safe oil. Natural wood grain makes each bowl unique.",150.00,USD,2,6516,"wood bowl,grain bowl,hand turned bowl,serving bowl,hardwood bowl,artisan bowl,Pacific Northwest","hardwood,food-safe oil",i_did,2020_2026,active,40002,14,21,2.8,lb,12.0,12.0,4.0,in,987,156,50002,60001,false,true,false,2024-03-10T16:45:00,2026-04-15T08:30:00,2026-09-10T16:45:00
1004,29457183,Ornate Floral Wood Panel - Wall Art,"Hand-carved ornate floral wood panel suitable for wall mounting. Features detailed scrollwork and flower motifs carved in relief. Approximately 14 x 14 inches. Carved from select hardwood with a natural finish. Mounting hardware included.",320.00,USD,1,6516,"wood panel,carved wall art,floral carving,wood sculpture,wall decor,ornate carving,handmade art","hardwood,natural finish",i_did,2020_2026,active,40002,21,30,4.5,lb,14.0,14.0,1.5,in,1534,245,50002,60001,false,true,false,2024-04-05T11:00:00,2026-04-22T10:00:00,2026-10-05T11:00:00
1005,29457183,Woven Reed Market Basket - Handwoven,"Handwoven reed market basket with sturdy construction and natural finish. Perfect for farmers market shopping, picnics, or home storage. Approximately 14 inches wide and 10 inches tall with reinforced handles. Woven using traditional techniques.",65.00,USD,5,6516,"woven basket,reed basket,market basket,handwoven,natural basket,storage basket,artisan basket","reed,natural fiber",i_did,2020_2026,active,40003,7,14,1.0,lb,14.0,10.0,10.0,in,789,134,50001,60001,false,false,false,2024-05-12T08:15:00,2026-03-30T14:20:00,2026-11-12T08:15:00
1006,29457183,Hand-Painted Holiday Tree Bell - Ceramic,"Charming hand-painted ceramic tree bell ornament in festive colors. Each bell features a unique color combination with white snow-capped tips and a star topper. Approximately 3 inches tall with hanging loop. Perfect for holiday gift-giving.",25.00,USD,12,6516,"holiday ornament,tree bell,ceramic bell,Christmas ornament,hand painted,holiday decor,gift ornament","ceramic,acrylic paint,twine",i_did,2020_2026,active,40004,5,10,0.3,lb,2.0,2.0,3.0,in,1223,198,50001,60001,false,true,false,2024-05-28T13:30:00,2026-04-10T16:45:00,2026-11-28T13:30:00
1007,29457183,Traditional Beaded Necklace - Multi-color,"Handcrafted multi-color beaded necklace using traditional stringing techniques. Features a vibrant mix of glass and wood beads in earthy and bright tones. Adjustable length approximately 18-22 inches. Finished with a handmade clasp.",55.00,USD,6,6516,"beaded necklace,handmade necklace,multi-color beads,traditional jewelry,artisan necklace,boho necklace,glass beads","glass beads,wood beads,cord",i_did,2020_2026,active,40003,5,10,0.15,lb,1.0,1.0,1.0,in,678,112,50001,60001,false,true,false,2024-06-15T09:00:00,2026-04-25T11:30:00,2026-12-15T09:00:00
1008,29457183,Handmade Ektara Instrument - Gourd & Bamboo,"Traditional one-stringed ektara instrument handmade from a natural dried gourd body with a bamboo neck. Hand-painted decorative patterns on the gourd. Produces a rich resonant tone. Approximately 24 inches total length. A beautiful playable folk instrument or display piece.",85.00,USD,4,6516,"ektara,folk instrument,handmade instrument,gourd instrument,bamboo instrument,traditional music,world music","dried gourd,bamboo,steel string,acrylic paint",i_did,2020_2026,active,40005,10,14,0.9,lb,6.0,6.0,24.0,in,456,89,50002,60001,false,false,false,2024-07-01T10:30:00,2026-04-12T09:15:00,2027-01-01T10:30:00
1009,29457183,Hand-Carved Eagle Sculpture - Western Red Cedar,"Majestic eagle sculpture hand-carved from a single block of western red cedar. Spread wingspan with detailed feather texturing. Approximately 16 inches tall on a natural burl base. Finished with a hand-rubbed oil and wax blend. A statement piece for any room.",450.00,USD,1,6516,"eagle sculpture,wood carving,hand carved eagle,cedar sculpture,wildlife art,bird carving,Pacific Northwest art","western red cedar,linseed oil,beeswax",i_did,2020_2026,active,40002,30,45,5.5,lb,12.0,16.0,16.0,in,2103,312,50002,60001,false,true,true,2024-07-20T15:00:00,2026-04-28T08:00:00,2027-01-20T15:00:00
1010,29457183,Custom Fly Box - Cedar with Trout Scene,"Hand-carved cedar fly box with a detailed trout scene on the lid. Interior fitted with closed-cell foam to hold flies securely. Approximately 7 x 4 x 2 inches. Brass hinges and magnetic clasp. Perfect gift for the fly fishing enthusiast.",120.00,USD,4,6516,"fly box,fishing box,cedar fly box,trout carving,fly fishing gift,handmade fly box,wood box","western red cedar,brass hinges,closed-cell foam",i_did,2020_2026,active,40001,14,21,0.8,lb,7.0,4.0,2.0,in,1456,201,50001,60001,false,true,true,2024-08-05T12:00:00,2026-04-08T10:00:00,2027-02-05T12:00:00
1011,29457183,Carved Salmon Wall Mount - Alder Wood,"Hand-carved alder wood salmon wall mount with painted details. Captures the dynamic form of a leaping Pacific salmon. Approximately 18 inches long. Mounted on a natural-edge plank with hidden wall hanger. Each piece signed on the back.",280.00,USD,2,6516,"salmon carving,fish wall art,wood fish,alder carving,Pacific salmon,wildlife wall mount,Northwest art","alder wood,acrylic paint,polyurethane",i_did,2020_2026,active,40002,21,30,3.0,lb,18.0,6.0,3.0,in,892,167,50002,60001,false,true,false,2024-08-22T09:30:00,2026-04-05T14:00:00,2027-02-22T09:30:00
1012,29457183,Diamond Willow Walking Stick - Hand-Carved,"Hand-carved diamond willow walking stick with a comfortable rounded grip and rubber tip. The natural diamond patterns in the wood are highlighted with a light stain. Approximately 48 inches tall. Can be custom-sized to your height.",95.00,USD,3,6516,"walking stick,diamond willow,hand carved stick,hiking stick,wood walking stick,artisan stick,carved cane","diamond willow,rubber tip,linseed oil",i_did,2020_2026,active,40003,7,14,1.5,lb,3.0,3.0,48.0,in,534,76,50002,60001,false,true,true,2024-09-10T11:15:00,2026-04-01T16:00:00,2027-03-10T11:15:00
1013,29457183,Handcrafted Brass Bangle Set (6-piece),"Set of six handcrafted brass bangles with assorted decorative patterns including hammered, twisted, and etched designs. Various widths from delicate to statement. Fits wrist sizes 7-8 inches. Polished to a warm golden finish.",90.00,USD,5,6516,"brass bangles,bangle set,handcrafted bangles,gold bangles,stacking bangles,artisan jewelry,boho bracelet","brass,copper alloy",i_did,2020_2026,active,40003,5,10,0.4,lb,3.5,3.5,0.5,in,2567,287,50001,60001,false,true,false,2024-09-25T14:00:00,2026-04-26T09:30:00,2027-03-25T14:00:00
