courseId,id,text,state,creationTime,updateTime,creatorUserId,alternateLink
course_001,ann_001,Welcome to AP Computer Science A! Please review the syllabus linked in Materials and complete the intro survey by Friday.,PUBLISHED,2025-01-06T09:00:00Z,2025-01-06T09:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_001
course_001,ann_002,Reminder: Unit 2 test on Friday. Review String methods and Scanner input. Office hours Tuesday and Thursday after school.,PUBLISHED,2025-02-03T08:00:00Z,2025-02-03T08:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_002
course_001,ann_003,AP Exam registration deadline is next Monday March 3. Sign up in the counseling office if you haven't already.,PUBLISHED,2025-02-24T08:00:00Z,2025-02-24T08:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_003
course_001,ann_004,No class Thursday due to PSAT testing day. Use the time to work on your BankAccount project.,PUBLISHED,2025-03-17T08:00:00Z,2025-03-17T08:00:00Z,teacher_001,https://classroom.google.com/c/course_001/p/ann_004
course_002,ann_005,Welcome to Web Dev! Make sure you have VS Code installed and a GitHub account created before next class.,PUBLISHED,2025-01-06T11:00:00Z,2025-01-06T11:00:00Z,teacher_001,https://classroom.google.com/c/course_002/p/ann_005
course_002,ann_006,Great work on the portfolio projects everyone! I've posted some exemplary examples in Materials for inspiration.,PUBLISHED,2025-01-27T11:00:00Z,2025-01-27T11:00:00Z,teacher_001,https://classroom.google.com/c/course_002/p/ann_006
course_002,ann_007,Reminder: Weather API project due Wednesday. Make sure your API key is working. See me if you need help with fetch.,PUBLISHED,2025-04-14T11:00:00Z,2025-04-14T11:00:00Z,teacher_001,https://classroom.google.com/c/course_002/p/ann_007
course_003,ann_008,Welcome to AP CSP! This course is about big ideas in CS not just coding. Come ready to think critically and creatively.,PUBLISHED,2025-01-06T14:00:00Z,2025-01-06T14:00:00Z,teacher_001,https://classroom.google.com/c/course_003/p/ann_008
course_003,ann_009,Innovation presentations start next week. Sign up for your presentation slot on the shared Google Doc.,PUBLISHED,2025-04-14T14:00:00Z,2025-04-14T14:00:00Z,teacher_001,https://classroom.google.com/c/course_003/p/ann_009
course_003,ann_010,AP CSP exam is May 12. Create Task portfolio due to College Board by April 30. No extensions possible.,PUBLISHED,2025-04-21T14:00:00Z,2025-04-21T14:00:00Z,teacher_001,https://classroom.google.com/c/course_003/p/ann_010
uscg-charter-inspection-2026,ann_011,Annual USCG near-coastal safety inspection scheduled for May 7. Lucky Strike will be at Marina Slip B-14 starting 0800. Pre-position every equipment item for visual inspection and have expiry tags facing out so they can be photographed in place.,PUBLISHED,2026-04-25T09:00:00Z,2026-04-25T09:00:00Z,teacher_004,https://classroom.google.com/c/uscg-charter-inspection-2026/p/ann_011
uscg-charter-inspection-2026,ann_012,Pre-inspection prep checklist posted in Materials. Verify every expiry tag photograph each mounting point and stage handheld items on the salon table. Marisol will run the dry-bag and PFD count from the forward cabin locker.,PUBLISHED,2026-05-01T10:00:00Z,2026-05-01T10:00:00Z,teacher_004,https://classroom.google.com/c/uscg-charter-inspection-2026/p/ann_012
uscg-charter-inspection-2026,ann_013,Inspection complete. Result 13 PASS / 5 FAIL out of 18 total items. CRITICAL findings — EQ-008 Visual Distress Flare Kit expired Dec 2025 / EQ-004 Type IV throwable flotation missing from stern locker. Additional FAILs — EQ-002 cabin extinguisher gauge in red / EQ-014 EPIRB battery expired Mar 2026 / EQ-017 bilge pump float switch broken. Low-confidence items needing daylight re-shoot — EQ-011 bow nav light housing chip / EQ-018 MARPOL placard fade.,PUBLISHED,2026-05-07T19:30:00Z,2026-05-07T19:30:00Z,teacher_004,https://classroom.google.com/c/uscg-charter-inspection-2026/p/ann_013
uscg-charter-inspection-2026,ann_014,Prioritized repair and replacement list with rough costs. P0 immediate — EQ-008 flare kit $75 / EQ-004 throwable Type IV $35 / EQ-014 EPIRB battery service $185. P1 this week — EQ-002 cabin extinguisher $40 / EQ-017 bilge pump $115. P2 deferred — re-shoot low-confidence items EQ-011 and EQ-018 in daylight. Estimated total replacement budget approximately $450. Vendor contacts in mat_010.,PUBLISHED,2026-05-08T09:30:00Z,2026-05-08T09:30:00Z,teacher_004,https://classroom.google.com/c/uscg-charter-inspection-2026/p/ann_014
uscg-charter-inspection-2025,ann_015,Prior-year USCG near-coastal safety inspection scheduled for May 9. Lucky Strike will be at Marina Slip B-14 starting 0800. All equipment must be staged for visual inspection.,PUBLISHED,2025-04-25T09:00:00Z,2025-04-25T09:00:00Z,teacher_004,https://classroom.google.com/c/uscg-charter-inspection-2025/p/ann_015
uscg-charter-inspection-2025,ann_016,Prior-year inspection complete. Result all 18 items PASS. Warning flags for next year — EQ-008 flare kit expires Dec 2025 / EQ-014 EPIRB battery rated to Mar 2026 / EQ-002 cabin extinguisher gauge trending downward. Schedule replacements before May 2026 inspection.,PUBLISHED,2025-05-09T18:00:00Z,2025-05-09T18:00:00Z,teacher_004,https://classroom.google.com/c/uscg-charter-inspection-2025/p/ann_016
