comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
cmt_001,vid_001,,,HorseGirlKatie,UC_user001,This is so helpful. My TB had crusty patches last spring and I had no idea what I was looking at until it got really bad. Sharing this with my barn.,34,2025-04-11T08:30:00Z,2025-04-11T08:30:00Z,published
cmt_002,vid_001,,,BarrelRacerTex,UC_user002,Question - at 12:00 you show the ringworm lesion. My horse has something similar but it is on the girth area only. Could that be tack rub instead?,18,2025-04-11T10:45:00Z,2025-04-11T10:45:00Z,published
cmt_003,vid_001,UC_EquineHealthChannel,cmt_002,Equine Wellness Academy,UC_EquineHealthChannel,Great question. Tack rub typically shows hair loss without the raised crusty border you see with fungal infections. The location alone does not rule it out though. If it is circular with that classic ring shape definitely get a culture done. We have a whole video on this - vid_004 compares the two side by side.,28,2025-04-11T14:00:00Z,2025-04-11T14:00:00Z,published
cmt_004,vid_001,,,DressageDaily,UC_user003,I am a barn manager with 18 horses and this should be required viewing for every boarder. The photo documentation tips at the end are gold.,22,2025-04-11T16:30:00Z,2025-04-11T16:30:00Z,published
cmt_005,vid_001,,,FirstTimeOwner2024,UC_user004,Saved this video. My guy just got a weird bald spot behind his ear and I was freaking out. Now I know what to photograph before calling the vet tomorrow.,15,2025-04-12T09:00:00Z,2025-04-12T09:00:00Z,published
cmt_006,vid_002,,,EmeraldOaksStable,UC_user005,Showed this to my boarders at our monthly meeting. Two of them found early signs on their horses that same week. Early detection matters so much.,41,2025-04-04T11:00:00Z,2025-04-04T11:00:00Z,published
cmt_007,vid_002,,,VetTechSarah,UC_user006,I work at an equine clinic and I wish more owners watched content like this before appointments. Half our skin cases come in way too late because people assumed it would resolve on its own.,27,2025-04-04T14:30:00Z,2025-04-04T14:30:00Z,published
cmt_008,vid_002,UC_EquineHealthChannel,cmt_007,Equine Wellness Academy,UC_EquineHealthChannel,Totally agree Sarah. The goal is not to turn owners into diagnosticians but to help them recognize when something needs professional attention sooner rather than later.,19,2025-04-04T16:00:00Z,2025-04-04T16:00:00Z,published
cmt_009,vid_002,,,QuarterHorseMom,UC_user007,The color change section was eye opening. I never thought to check under the mane where the coat is lighter. Found a small area on my mare last night that I am going to have checked.,12,2025-04-05T07:30:00Z,2025-04-05T07:30:00Z,published
cmt_010,vid_003,,,BarnManagerJoe,UC_user008,We dealt with a ringworm outbreak last fall in a 12-horse barn. Took 8 weeks to fully clear. The biosecurity section here is spot on - separate everything. Grooming kits saddle pads all of it.,38,2025-03-28T09:00:00Z,2025-03-28T09:00:00Z,published
cmt_011,vid_003,,,TrailRiderSusan,UC_user009,My vet cultured my horse last week and it came back Trichophyton. Does the treatment protocol change based on which fungus it is?,14,2025-03-28T12:30:00Z,2025-03-28T12:30:00Z,published
cmt_012,vid_003,UC_EquineHealthChannel,cmt_011,Equine Wellness Academy,UC_EquineHealthChannel,Good question. The topical approach is generally the same but duration can vary. Trichophyton sometimes takes longer to clear than Microsporum. Your vet will adjust the timeline based on follow-up cultures. Key thing is do not stop treatment just because it looks better visually.,21,2025-03-28T15:00:00Z,2025-03-28T15:00:00Z,published
cmt_013,vid_003,,,PoloGroomAlex,UC_user010,The shared tack section hit home. We rotate horses through string ponies and I bet that is how ours spread. Changed our protocol after watching this.,16,2025-03-29T08:00:00Z,2025-03-29T08:00:00Z,published
cmt_014,vid_004,,,AnxiousOwnerMeg,UC_user011,THANK YOU. I have been googling images for two days trying to figure out if my horse has rain rot or ringworm. The side by side at 2:00 cleared it up immediately. Definitely rain rot based on the pattern.,45,2025-03-21T07:45:00Z,2025-03-21T07:45:00Z,published
cmt_015,vid_004,,,EquineDVMMark,UC_user012,Good video. One thing I would add - sometimes you get both simultaneously especially in humid climates. If treatment for one is not resolving it consider that both may be present.,23,2025-03-21T11:00:00Z,2025-03-21T11:00:00Z,published
cmt_016,vid_004,UC_EquineHealthChannel,cmt_015,Equine Wellness Academy,UC_EquineHealthChannel,Excellent point Dr. Mark. Co-infection is definitely real especially in the Southeast during summer. Another good reason to culture when response to treatment is slow.,17,2025-03-21T13:30:00Z,2025-03-21T13:30:00Z,published
cmt_017,vid_005,,,NewHorseOwnerJen,UC_user013,Just built my kit based on this video. Spent about $85 total vs the $200 pre-made kits at the tack store. Way more useful stuff too.,29,2025-03-14T10:00:00Z,2025-03-14T10:00:00Z,published
cmt_018,vid_005,,,EventerKim,UC_user014,The organization tips at the end are great. I labeled everything with dosage and expiration dates like you suggested. So much less stressful when you actually need something in a hurry.,13,2025-03-15T08:30:00Z,2025-03-15T08:30:00Z,published
cmt_019,vid_006,,,ConfusedBoarder,UC_user015,My vet sent me lab results and I had no idea what any of it meant. This helped me understand what questions to ask at the follow-up. Still not sure about the sensitivity panel part though.,11,2025-03-07T14:00:00Z,2025-03-07T14:00:00Z,published
cmt_020,vid_006,UC_EquineHealthChannel,cmt_019,Equine Wellness Academy,UC_EquineHealthChannel,The sensitivity panel tells you which medications the organism responds to. Think of it as a cheat sheet for your vet to pick the most effective treatment. If yours says R next to something that means resistant. S means susceptible which is what you want to see.,15,2025-03-07T16:30:00Z,2025-03-07T16:30:00Z,published
cmt_021,vid_008,,,HaySupplierDave,UC_user016,As someone who sells hay I appreciate you showing people how to evaluate quality. So many people buy on price alone and then wonder why their horses look poor.,18,2025-02-28T09:00:00Z,2025-02-28T09:00:00Z,published
cmt_022,vid_008,,,MiniHorseMama,UC_user017,Does most of this apply to minis too or do they have different requirements? Mine are easy keepers and I worry about overfeeding.,9,2025-03-01T11:00:00Z,2025-03-01T11:00:00Z,published
cmt_023,vid_009,,,PanickedOwner,UC_user018,My horse went 3-legged lame this morning and I was convinced it was a fracture. Vet came out and it was an abscess. Wish I had seen this video first - would have saved me a lot of panic.,42,2025-02-21T08:00:00Z,2025-02-21T08:00:00Z,published
cmt_024,vid_009,,,FarrierMike,UC_user019,Good video. I see maybe 3-4 of these a month. One thing to add - if the hoof is warm and has increased digital pulse but no obvious entry point it is almost always an abscess working its way out.,26,2025-02-22T10:30:00Z,2025-02-22T10:30:00Z,published
cmt_025,vid_010,,,SmallBarnSally,UC_user020,We are a 6-horse barn and honestly never thought about biosecurity until a new horse brought in something last year. Now we quarantine for 14 days minimum. This video validates what our vet told us.,20,2025-02-14T09:00:00Z,2025-02-14T09:00:00Z,published
cmt_026,vid_010,,,BoardingBarnPro,UC_user021,The shared equipment section is what gets people every time. We now have individual grooming kits for each horse. Color coded. Boarders complained about the cost but nobody has had a skin issue since.,31,2025-02-15T11:30:00Z,2025-02-15T11:30:00Z,published
cmt_027,vid_011,,,WorriedOwnerTom,UC_user022,Sent my vet photos last week and she said they were useless because of the shadow. This 45 second video would have saved me a trip. Now I know to use natural light and include a ruler.,19,2025-04-06T07:00:00Z,2025-04-06T07:00:00Z,published
cmt_028,vid_012,,,OrganizedRider,UC_user023,Printed out the monthly checklist and put it on the barn fridge. Already caught that I missed my mare's spring deworming date. Thank you for making this free.,14,2025-02-07T10:00:00Z,2025-02-07T10:00:00Z,published
cmt_029,vid_013,,,4HLeaderAmy,UC_user024,Shared this with my 4H kids and their parents. Wire cuts are so common out here and half the time parents are putting the wrong thing on them. Clear and practical.,17,2025-01-31T14:00:00Z,2025-01-31T14:00:00Z,published
cmt_030,vid_014,,,OlderHorseOwner,UC_user025,My 22 year old just had his teeth done for the first time in 4 years (I know I know). He had hooks and a wave mouth. He is eating so much better now. Do not skip dentals people.,25,2025-01-24T09:30:00Z,2025-01-24T09:30:00Z,published
cmt_031,vid_015,,,PrepperEquestrian,UC_user026,Baseline vitals saved my horse's life last summer. I knew his resting HR was 32 so when it was 64 at rest I called the vet immediately. Turned out to be early colic. Caught it before it got surgical.,56,2025-01-17T08:00:00Z,2025-01-17T08:00:00Z,published
cmt_032,vid_016,,,ColickySue,UC_user027,Went through colic surgery in November. The hardest 4 hours of my life waiting for the vet. This video is exactly right - walk if they want to walk but do not force it. And call early.,33,2025-01-10T11:00:00Z,2025-01-10T11:00:00Z,published
cmt_033,vid_016,,,RanchHandCarlos,UC_user028,We had a colic two weeks ago and the owner panicked and gave bute before calling the vet. Vet said it masked the pain signs and made assessment harder. Maybe add a note about that?,21,2025-01-11T08:30:00Z,2025-01-11T08:30:00Z,published
cmt_034,vid_016,UC_EquineHealthChannel,cmt_033,Equine Wellness Academy,UC_EquineHealthChannel,Really important point Carlos. We cover this briefly at 12:00 but you are right it deserves more emphasis. General rule: call your vet BEFORE giving any medication so they can guide you. Some vets will okay banamine over the phone but they need to make that call not the owner.,24,2025-01-11T12:00:00Z,2025-01-11T12:00:00Z,published
cmt_035,vid_018,,,FounderSurvivor,UC_user029,My IR gelding foundered two springs ago because I let him on pasture too fast. $6000 in vet bills and a year of stall rest. This video could save someone else from that mistake.,37,2025-01-03T09:00:00Z,2025-01-03T09:00:00Z,published
cmt_036,vid_019,,,FlyFrustrated,UC_user030,Tried the fly predators based on your recommendation last year. Game changer for our barn. We still use spray but maybe 60% less than before.,15,2024-12-27T10:00:00Z,2024-12-27T10:00:00Z,published
cmt_037,vid_020,,,ScaredOwnerLisa,UC_user031,My mare woke up with one eye completely shut yesterday. I watched this and went straight to emergency. It was a corneal ulcer. Vet said if I had waited even one more day she could have lost the eye. THANK YOU.,48,2024-12-20T07:30:00Z,2024-12-20T07:30:00Z,published
cmt_038,vid_020,UC_EquineHealthChannel,cmt_037,Equine Wellness Academy,UC_EquineHealthChannel,So glad you acted fast Lisa. Eyes are the one thing where we say never wait and see. Great outcome for your mare.,22,2024-12-20T11:00:00Z,2024-12-20T11:00:00Z,published
cmt_039,vid_021,,,OldSchoolHorseman,UC_user032,Been rotating dewormers every 8 weeks for 30 years. Hard to accept that is wrong but the resistance data is pretty clear. Going to talk to my vet about fecal counts.,19,2024-12-13T09:00:00Z,2024-12-13T09:00:00Z,published
cmt_040,vid_023,,,NervousClient,UC_user033,I always feel rushed at vet appointments and forget half my questions. The tip about writing everything down the night before and having photos ready is so simple but I never thought to do it.,16,2024-12-06T08:30:00Z,2024-12-06T08:30:00Z,published
cmt_041,vid_024,,,ChronicThrushFighter,UC_user034,Have been battling thrush for 2 years. Tried every product. Turns out the problem was my turnout - too much mud and not enough dry footing. Fixed the environment and it finally cleared. Wish I watched this sooner.,23,2024-11-29T10:00:00Z,2024-11-29T10:00:00Z,published
cmt_042,vid_025,,,SummerRiderJess,UC_user035,Lost a horse to heat stroke 3 years ago at a show. It still haunts me. Everyone please watch this. The signs are subtle before they suddenly are not.,39,2024-11-22T08:00:00Z,2024-11-22T08:00:00Z,published
cmt_043,vid_027,,,StockedLegs,UC_user036,My warmblood gets cellulitis every spring like clockwork. The vet thinks there is underlying lymphatic damage from an old injury. Interesting that you mention the recurrence issue.,14,2024-11-08T09:30:00Z,2024-11-08T09:30:00Z,published
cmt_044,vid_028,,,OverBlanketedHorse,UC_user037,I have been over-blanketing for years apparently. My horse was sweating under his blanket in 45 degree weather. Took it off and he is honestly happier and his coat looks better.,17,2024-11-01T11:00:00Z,2024-11-01T11:00:00Z,published
cmt_045,vid_029,,,QuarantineVeteran,UC_user038,Dealt with strangles in our barn 2 years ago. 4 months of quarantine. Lost two boarders who left. The carrier testing section is so important - you HAVE to test before reintroducing.,28,2024-10-25T09:00:00Z,2024-10-25T09:00:00Z,published
cmt_046,vid_029,,,NewBarnOwner,UC_user039,Opening a boarding facility next spring. Making strangles vaccination and a negative Coggins mandatory for all incoming horses. This video confirmed that is not overkill.,13,2024-10-26T14:00:00Z,2024-10-26T14:00:00Z,published
cmt_047,vid_030,,,MudSeasonSurvivor,UC_user040,Every spring and fall like clockwork my draft cross gets scratches on his feathered legs. Clipping helps so much. Prevention section is spot on.,20,2024-10-18T08:30:00Z,2024-10-18T08:30:00Z,published
cmt_048,vid_030,UC_EquineHealthChannel,cmt_047,Equine Wellness Academy,UC_EquineHealthChannel,Draft types with heavy feathering are definitely predisposed. Keeping them clipped and managing turnout during wet seasons is the biggest prevention win for those breeds.,12,2024-10-18T12:00:00Z,2024-10-18T12:00:00Z,published
cmt_049,vid_004,,,ThoroughbredTrainer,UC_user041,We see both of these at the track all the time. Horses that ship between tracks pick up all kinds of skin issues. The treatment response comparison at 13:00 is the most useful part for us.,16,2025-03-22T10:00:00Z,2025-03-22T10:00:00Z,published
cmt_050,vid_001,,,GregYarrow_EO,UC_user042,Dr Boyd recommended this channel to me for my gelding. Really appreciate the no-nonsense approach to explaining skin conditions. Going to watch the ringworm one next.,8,2025-04-15T09:30:00Z,2025-04-15T09:30:00Z,published
